no,kode_usul,nama_cabang,initial,aktif,alasan
032,ULS-GDG,ULS Gedangan,GDG,TRUE,"Prefix ""ULS"" dari master"
033,ULS-GSI,ULS Gresik,GSI,TRUE,"Prefix ""ULS"" dari master"
034,ULS-MJP,ULS Majapahit,MJP,TRUE,"Prefix ""ULS"" dari master"
035,KC-BDG,KC Bandung,BDG,TRUE,"Prefix ""KC"" dari master"
036,ULS-PPI,ULS Puri Indah,PPI,TRUE,"Prefix ""ULS"" dari master"
037,KC-SLO,KC Solo,SLO,TRUE,"Prefix ""KC"" dari master"
038,KCP-MPG,KCP Pondok Gede,MPG,TRUE,"Prefix ""KCP"" dari master"
039,,KF BUR Cibinong,,FALSE,"Tidak ada initial untuk ""KF BUR Cibinong"""
040,KCP-MCS,KCP Cikarang Selatan,MCS,TRUE,"Prefix ""KCP"" dari master"
041,,Sentra menteng,MTG,FALSE,"Prefix ""Sentra"" bukan tipe standar (KC/KCP/KCU/ULS/KF BUR)"
042,KCP-MCP,KCP Ciputat,MCP,TRUE,"Prefix ""KCP"" dari master"
043,KCP-MDP,KCP Depok,MDP,TRUE,"Prefix ""KCP"" dari master"
044,KCP-MCI,KCP Cileungsi,MCI,TRUE,"Prefix ""KCP"" dari master"
045,,KF BUR Cikarang Utara,,FALSE,"Tidak ada initial untuk ""KF BUR Cikarang Utara"""
046,KC-YOG,KC Yogyakarta,YOG,TRUE,"Prefix ""KC"" dari master"
047,ULS-PLK,ULS Pluit Kencana,PLK,TRUE,"Prefix ""ULS"" dari master"
048,ULS-SSR,ULS Solo Slamet riyadi,SSR,TRUE,"Prefix ""ULS"" dari master"
049,ULS-DAG,ULS Dago/ ULS Asia Afrika,DAG,TRUE,"Prefix ""ULS"" dari master"
050,KC-MDN,KC Medan,MDN,TRUE,"Prefix ""KC"" dari master"
051,ULS-BTU,ULS Bintaro Utama,BTU,TRUE,"Prefix ""ULS"" dari master"
052,KCU-PLG,KCU Palembang,PLG,TRUE,"Prefix ""KCU"" dari master"
053,KCP-MLG,KCP Malang,MLG,TRUE,"Prefix ""KCP"" dari master"
054,ULS-KBP,ULS Kotabaru Parahyangan,KBP,TRUE,"Prefix ""ULS"" dari master"
055,ULS-SDY,ULS Sudirman Yogyakarta,SDY,TRUE,"Prefix ""ULS"" dari master"
056,ULS-KDS,ULS Kudus,KDS,TRUE,"Prefix ""ULS"" dari master"
057,ULS-PMS,ULS Pemuda Semarang,PMS,TRUE,"Prefix ""ULS"" dari master"
058,ULS-PDA,ULS Pandaan,PDA,TRUE,"Prefix ""ULS"" dari master"
059,ULS-BBT,ULS Buah Batu,BBT,TRUE,"Prefix ""ULS"" dari master"
060,ULS-SGN,ULS Singosaren Solo,SGN,TRUE,"Prefix ""ULS"" dari master"
061,ULS-SRA,ULS Sragen Solo,SRA,TRUE,"Prefix ""ULS"" dari master"
062,ULS-MJK,ULS Mojokerto,MJK,TRUE,"Prefix ""ULS"" dari master"
063,ULS-KPJ,ULS Kepanjen,KPJ,TRUE,"Prefix ""ULS"" dari master"
064,ULS-ARV,ULS Rifai Palembang,ARV,TRUE,"Prefix ""ULS"" dari master"
065,ULS-BTR,ULS Bintaro Sek 7,BTR,TRUE,"Prefix ""ULS"" dari master"
066,KC-BDL,KC Bandar Lampung,BDL,TRUE,"Prefix ""KC"" dari master"
067,KC-BDA,KC Banda Aceh,BDA,TRUE,"Prefix ""KC"" dari master"
068,KCP-KDR,KCP Kediri,KDR,TRUE,"Prefix ""KCP"" dari master"
069,KCP-SBU,KCP Iskandar Muda,SBU,TRUE,"Prefix ""KCP"" dari master"
070,KCP-PSR,KCP Pasuruan,PSR,TRUE,"Prefix ""KCP"" dari master"
071,KC-PNK,KC Panakkukang,PNK,TRUE,"Prefix ""KC"" dari master"
072,KCP-LSW,KCP Lhokseomawe,LSW,TRUE,"Prefix ""KCP"" dari master"
073,ULS-BIR,ULS Bireuen,BIR,TRUE,"Prefix ""ULS"" dari master"
074,ULS-TPI,ULS Taman Pondok Indah,TPI,TRUE,"Prefix ""ULS"" dari master"
075,ULS-SDP,ULS Sudirman Palembang,SDP,TRUE,"Prefix ""ULS"" dari master"
076,KCP-BWI,KCP Banyuwangi,BWI,TRUE,"Prefix ""KCP"" dari master"
077,KCP-CMH,KCP ULS Cimahi,CMH,TRUE,"Prefix ""KCP ULS"" diringkas jadi ""KCP"""
078,KCP-SGK,KCP Sungkono Surabaya,SGK,TRUE,"Prefix ""KCP"" dari master"
079,KCP-MTO,KCP Metro Lampung,MTO,TRUE,"Prefix ""KCP"" dari master"
080,ULS-ARC,ULS Arundina Cibubur,ARC,TRUE,"Prefix ""ULS"" dari master"
081,ULS-CRB,ULS Cirebon,CRB,TRUE,"Prefix ""ULS"" dari master"
082,ULS-PDG,ULS PADANG,PDG,TRUE,"Prefix ""ULS"" dari master"
083,ULS-SCI,ULS Sentral Cikini,SCI,TRUE,"Prefix ""ULS"" dari master"
